op,n_proc,topo,runtime,total_hop,avg_hop
BCAST,16,Torus,34.78,374,1.68
BCAST,32,Torus,43.65,1004,1.85
BCAST,64,Torus,52.52,2518,1.97
BCAST,128,Torus,61.4,6060,2.06
BCAST,16,Dragonfly,4.41,222,1
BCAST,32,Dragonfly,5.49,542,1
BCAST,64,Dragonfly,7.08,1563,1.22
BCAST,128,Dragonfly,8.45,3869,1.32
GATHER,16,Torus,43.95,384,1.73
GATHER,32,Torus,55.24,1024,1.89
GATHER,64,Torus,66.54,2560,2
GATHER,128,Torus,77.88,6144,2.09
GATHER,16,Dragonfly,5.23,222,1
GATHER,32,Dragonfly,6.58,542,1
GATHER,64,Dragonfly,8.09,1563,1.22
GATHER,128,Dragonfly,10.63,3869,1.32
SENDRCV,16,Torus,34.78,397,1.78
SENDRCV,32,Torus,43.65,1048,1.93
SENDRCV,64,Torus,52.52,2605,2.04
SENDRCV,128,Torus,61.4,6232,2.12
SENDRCV,16,Dragonfly,4.41,223,1
SENDRCV,32,Dragonfly,5.49,543,1
SENDRCV,64,Dragonfly,7.08,1628,1.27
SENDRCV,128,Dragonfly,8.45,3996,1.36
